Year,pompadour hairstyle,ducktail haircut,pixie cut,beehive hairstyle,mop-top,bouffant hairstyle,crew cut,afro hairstyle,shag haircut,feathered hair,cornrows,mullet haircut,jheri curl,perm hairstyle,hi-top fade,rattail haircut,mohawk hairstyle,dreadlocks,bowl cut,frosted tips,buzz cut,faux hawk,emo hair,undercut hairstyle,man bun,curtain bangs,wolf cut
1950,0.0,0.11019599122086277,0.0,0.0,0.0,0.0,15.317242585410895,0.0,0.0,0.11019599122086277,1.5066847769418246,0.0,0.0,0.0,0.0,0.0,0.0,0.23179766439618277,2.424311862370132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3305879736625883
1951,0.0,0.4550603782682572,0.0,0.0,0.0,0.0,34.35705764331942,0.0,0.0,0.2275301891341286,0.5985000273156516,0.0,0.0,0.0,0.0,0.0,0.0,0.11969999991201519,5.233194322329382,0.1137650945670643,0.0,0.0,0.0,0.0,0.1137650945670643,0.0,0.0
1952,0.0,0.3395485559387623,0.0,0.0,0.0,0.0,27.390250068037858,0.0,0.0,0.22636570395917488,0.11904313645949571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75367967212037,0.45273140791834976,0.0,0.0,0.0,0.0,0.0,0.0,0.22636570395917488
1953,0.0,0.11258132620595163,0.4503253048238065,0.0,0.0,0.0,34.56246844280031,0.0,0.0,0.7880692765027675,0.1184398273901266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.026463885584917,0.5629066102130764,0.0,0.0,0.0,0.0,0.0,0.11258132620595163,0.0
1954,0.0,0.22030691160246363,0.0,0.0,0.0,0.0,41.417699492285465,0.0,0.0,0.8812276464098545,0.11584368880823703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75383649217531,0.33046038128148325,0.0,0.0,0.0,0.0,0.0,0.0,0.22030691160246363
1955,0.0,1.0437787301142976,0.10437787439920854,0.0,0.0,0.0,37.15852159302813,0.0,0.0,0.8350229951936683,0.4391505770140469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.087557460228595,0.20875574879841707,0.0,0.0,0.0,0.0,0.10437787439920854,0.0,0.5218893650571488
1956,0.0,1.252906334237025,0.0,0.0,0.0,0.0,46.983988255533404,0.0,0.0,0.7308620375567898,0.21964931262719034,0.0,0.0,0.0,0.0,0.0,0.0,0.10982465631359517,3.863128039682806,0.20881772699876677,0.0,0.0,0.0,0.0,0.0,0.0,0.41763545399753355
1957,0.0,2.3188819753272583,0.0,0.0966200869312317,2.4386805907994358,0.0,46.08778070291919,0.0,0.0,2.1256418847315217,1.0161169683442495,0.0,0.0,0.0,0.0,0.0,0.0,0.5080584841721247,2.0290218394336534,0.0,0.1932401738624634,0.0,0.0,0.0,0.0,0.0,0.0966200869312317
1958,0.0,1.8332413365129696,0.09648638832349121,0.0,0.4058390568051351,0.0,53.35697395025818,0.0,0.0,6.754047099377658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6402685876215628,0.09648638832349121,0.0,0.0,0.0,0.0,0.09648638832349121,0.28945917884826144,0.5789183576965229
1959,0.0,1.7043806366245917,0.08970424403287325,0.0,0.09427603836487108,0.08970424403287325,46.37709594135231,0.0,0.0,0.6279297082301127,0.09427603836487108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5382254641972395,0.08970424403287325,0.0,0.0,0.0,0.0,0.0,0.0,0.1794084880657465
